finger,carrier_net,t31_pin,t31_pin_name_or_note
1,VCORE,,SoC core/DDR rail (bidirectional)
2,VCORE,,SoC core/DDR rail (bidirectional)
3,VCORE,,SoC core/DDR rail (bidirectional)
4,VCORE,,SoC core/DDR rail (bidirectional)
5,GND,,GND
6,MICLP,41,MICLP
7,HPOUTL,44,HPOUTL
8,GND,,GND
9,VDDR,,SoC core/DDR rail (bidirectional)
10,VDDR,,SoC core/DDR rail (bidirectional)
11,GND,,GND
12,GND,,GND
13,+3V3,,carrier-sourced rail
14,+3V3,,carrier-sourced rail
15,+1V8,,carrier-sourced rail
16,+1V8,,carrier-sourced rail
17,+5V_SW,,carrier-sourced rail
18,+5V_SW,,carrier-sourced rail
19,GND,,GND
20,USBA_HOST_DP,36,USB0PP
21,USBA_HOST_DM,35,USB0PN
22,GND,,GND
23,VCORE_SNS,,"BMC-only (crosses to U8, not the interposer SoC)"
24,HOSTED_DATA_READY,,"BMC-only (crosses to U8, not the interposer SoC)"
25,HOSTED_HANDSHAKE,,"BMC-only (crosses to U8, not the interposer SoC)"
26,HOSTED_SPI_CS,,"BMC-only (crosses to U8, not the interposer SoC)"
27,HOSTED_SPI_MISO,,"BMC-only (crosses to U8, not the interposer SoC)"
28,SFC_IO2,,"BMC-only (crosses to U8, not the interposer SoC)"
29,SFC_IO1,,"BMC-only (crosses to U8, not the interposer SoC)"
30,SFC_CLK,,"BMC-only (crosses to U8, not the interposer SoC)"
31,SFC_IO0,,"BMC-only (crosses to U8, not the interposer SoC)"
32,SFC_CS,,"BMC-only (crosses to U8, not the interposer SoC)"
33,SFC_IO3,,"BMC-only (crosses to U8, not the interposer SoC)"
34,RESET_EN,,"BMC-only (crosses to U8, not the interposer SoC)"
35,BOOTSEL,,"BMC-only (crosses to U8, not the interposer SoC)"
36,GND,,GND
37,GND,,GND
38,GND,,GND
39,GND,,GND
40,GND,,GND
41,GND,,GND
42,UART1_RX,,"BMC-only (crosses to U8, not the interposer SoC)"
43,UART1_TX,,"BMC-only (crosses to U8, not the interposer SoC)"
44,HOSTED_SPI_MOSI,,"BMC-only (crosses to U8, not the interposer SoC)"
45,HOSTED_SPI_CLK,,"BMC-only (crosses to U8, not the interposer SoC)"
46,I2C_ID_SCL,,"BMC-only (crosses to U8, not the interposer SoC)"
47,I2C_ID_SDA,,"BMC-only (crosses to U8, not the interposer SoC)"
48,HOSTED_RESET,,"BMC-only (crosses to U8, not the interposer SoC)"
49,GND,,GND
50,MSC0_D1,49,MSC0_D1_SSI_SLV_DR_PB01
51,GND,,GND
52,MSC0_D0,50,MSC0_D0_SSI_SLV_DT_PB00
53,MSC0_CLK,51,MSC0_CLK_SSI_SLV_CLK_PB04
54,MSC0_CMD,52,MSC0_CMD_SSI_SLV_CE0_PB05
55,MSC0_D3_CD,53,MSC0_D3_PB03
56,MSC0_D2,54,MSC0_D2_PB02
57,GND,,GND
58,GND,,GND
59,GND,,GND
60,MIPI0_SCCB_SDA,,not present on T31ZX
61,MIPI0_SCCB_SCL,,not present on T31ZX
62,MIPI0_GPIO,16,SA1_DVP_MCLK_PA15
63,GND,,GND
64,MIPI0_CLKP,27,MIPI_CLKP_DVP_D2
65,MIPI0_CLKN,26,MIPI_CLKN_DVP_D3
66,GND,,GND
67,MIPI0_D1P,29,MIPI_DATAP1_DVP_D0
68,MIPI0_D1N,28,MIPI_DATAN1_DVP_D1
69,GND,,GND
70,MIPI0_D0P,25,MIPI_DATAP0_DVP_D4
71,MIPI0_D0N,24,MIPI_DATAN0_DVP_D5
72,GND,,GND
73,MIPI1_SCCB_SDA,,not present on T31ZX
74,MIPI1_SCCB_SCL,,not present on T31ZX
75,MIPI1_GPIO,,not present on T31ZX
76,GND,,GND
77,MIPI1_CLKP,,not present on T31ZX
78,MIPI1_CLKN,,not present on T31ZX
79,GND,,GND
80,MIPI1_D1P,,not present on T31ZX
81,MIPI1_D1N,,not present on T31ZX
82,GND,,GND
83,MIPI1_D0P,,not present on T31ZX
84,MIPI1_D0N,,not present on T31ZX
85,GND,,GND
86,GND,,GND
87,GMAC0_MDIO,57,GMAC_MDIO_MSC1_D1_SLCD_D5_PB11
88,GMAC0_MDCK,58,GMAC_MDCK_MSC1_D0_I2S_SDTO_SLCD_D4_PB10
89,GMAC0_TXCLK,62,GMAC_TXCLK_SLCD_D0_PB06
90,GMAC0_PHYCLK,63,GMAC_PHY_CLK_SLCD_D1_PB07
91,GMAC0_TXEN,66,GMAC_TXEN_MSC1_CLK_I2S_ADC_MCLK_SLCD_D2_PB08
92,GMAC0_TXD0,64,GMAC_TXD0_MSC1_D2_I2S_ADC_LRCK_SLCD_D6_PB13
93,GMAC0_TXD1,65,GMAC_TXD1_MSC1_D3_I2S_DAC_MCLK_SLCD_D7_PB14
94,GMAC0_RXDV,59,GMAC_RXDV_MSC1_CMD_I2S_SDTI_SLCD_D3_PB09
95,GMAC0_RXD0,60,GMAC_RXD0_I2S_DAC_LRCK_SLCD_WR_PB15/_SFC_CE1_PA26
96,GMAC0_RXD1,61,GMAC_RXD1_SLCD_TE_PB16/_SFC_GPC_PA25
97,GND,,GND
98,UART0_RXD,71,UART0_RXD_TDI_PB19
99,UART0_TXD,70,UART0_TXD_TDO_SLCD_RDY_PB22
100,UART0_CTS,69,UART0_CTS_I2S_ADC_BCLK_SLCD_CS_PB20
101,UART0_RTS,68,UART0_RTS_I2S_DAC_BCLK_SLCD_DC_PB21
102,GND,,GND
103,UART2_RXD,18,SD5_DVP_D11_UART2_RXD_MSC1_D3_PA11
104,UART2_TXD,19,SD4_DVP_D10_UART2_TXD_MSC1_D2_PA10
105,UART2_CTS,21,SD2_DVP_D8_UART2_CTS_MSC1_D0_PA08
106,UART2_RTS,20,SD3_DVP_D9_UART2_RTS_MSC1_D1_PA09
107,GND,,GND
108,UART3_RXD,,not present on T31ZX
109,UART3_TXD,,not present on T31ZX
110,UART3_CTS,,not present on T31ZX
111,UART3_RTS,,not present on T31ZX
112,GND,,GND
113,GMAC1_MDIO,,not present on T31ZX
114,GMAC1_MDCK,,not present on T31ZX
115,GMAC1_TXCLK,,not present on T31ZX
116,GMAC1_PHYCLK,,not present on T31ZX
117,GMAC1_TXEN,,not present on T31ZX
118,GMAC1_TXD0,,not present on T31ZX
119,GMAC1_TXD1,,not present on T31ZX
120,GMAC1_RXDV,,not present on T31ZX
121,GMAC1_RXD0,,not present on T31ZX
122,GMAC1_RXD1,,not present on T31ZX
123,GND,,GND
124,SSI0_CLK,48,SFC_CLK_PA27
125,SSI0_DT,47,SFC_DT_PA23
126,SSI0_DR,46,SFC_DR_PA24
