pin,t31zx_function,net
1,PWM0_SSI1_DT_PB17,/PB17
2,PWM1_SSI1_DR_PB18,/PB18
3,VDDIO_OSC,+1V8
4,EXCLK_O,Net-(IC1-EXCLK_O)
5,EXCLK_I,Net-(IC1-EXCLK_I)
6,PLL_VDDHV,+1V8
7,PPRST_,Net-(IC1-PPRST_)
8,EFUSE_AVD,GND
9,VDDIO0,+1V8
10,VDD_1,+0V8
11,SA2_PA18,/PA18
12,SD7_SMB0_SCK_PA13,/I2C0_SCK
13,SD6_SMB0_SDA_PA12,/I2C0_SDA
14,RD_DVP_VSYNC_SMB1_SCK_MSC1_CMD_PA17,/PA17
15,CS2_DVP_HSYNC_SMB1_SDA_MSC1_CLK_PA16,/PA16
16,SA1_DVP_MCLK_PA15,/PA15
17,SA0_DVP_PCLK_PWM0_PA14,/PA14
18,SD5_DVP_D11_UART2_RXD_MSC1_D3_PA11,/PA11
19,SD4_DVP_D10_UART2_TXD_MSC1_D2_PA10,/PA10
20,SD3_DVP_D9_UART2_RTS_MSC1_D1_PA09,/PA09
21,SD2_DVP_D8_UART2_CTS_MSC1_D0_PA08,/PA08
22,SD1_DVP_D7_UART1_RXD_PA07,/PA07
23,SD0_DVP6_UART1_TXD_PA06,/PA06
24,MIPI_DATAN0_DVP_D5,/MIPI_0_N
25,MIPI_DATAP0_DVP_D4,/MIPI_0_P
26,MIPI_CLKN_DVP_D3,/MIPI_CLK_N
27,MIPI_CLKP_DVP_D2,/MIPI_CLK_P
28,MIPI_DATAN1_DVP_D1,/MIPI_1_N
29,MIPI_DATAP1_DVP_D0,/MIPI_1_P
30,MIPI_AVD08,+0V8
31,MIPI_AVD18,+1V8
32,ADC_AUX0,/AUX0
33,ADC_VREF,+1V8
34,ADC_AVDD,+1V8
35,USB0PN,/USB_D-
36,USB0PP,/USB_D+
37,USB_AVD33,+3V3
38,USB_AVD18,+1V8
39,VDD_2,+0V8
40,VDDIO2,+3V3
41,MICLP,/MICLP
42,VCM,Net-(IC1-VCM)
43,CODEC_AVDD,+1V8
44,HPOUTL,/HPOUTL
45,SFC_CE0_PA28,/NOR_CE
46,SFC_DR_PA24,/NOR_DR
47,SFC_DT_PA23,/NOR_DT
48,SFC_CLK_PA27,/NOR_CK
49,MSC0_D1_SSI_SLV_DR_PB01,/MMC0_D1
50,MSC0_D0_SSI_SLV_DT_PB00,/MMC0_D0
51,MSC0_CLK_SSI_SLV_CLK_PB04,/MMC0_CLK
52,MSC0_CMD_SSI_SLV_CE0_PB05,/MMC0_CMD
53,MSC0_D3_PB03,/MMC0_D3
54,MSC0_D2_PB02,/MMC0_D2
55,VDD_3,+0V8
56,VDDIO1_1,+3V3
57,GMAC_MDIO_MSC1_D1_SLCD_D5_PB11,/MDIO
58,GMAC_MDCK_MSC1_D0_I2S_SDTO_SLCD_D4_PB10,/MDCK
59,GMAC_RXDV_MSC1_CMD_I2S_SDTI_SLCD_D3_PB09,/RXDV
60,GMAC_RXD0_I2S_DAC_LRCK_SLCD_WR_PB15/_SFC_CE1_PA26,/RXD0
61,GMAC_RXD1_SLCD_TE_PB16/_SFC_GPC_PA25,/RXD1
62,GMAC_TXCLK_SLCD_D0_PB06,/TXCLK
63,GMAC_PHY_CLK_SLCD_D1_PB07,/PHYCLK
64,GMAC_TXD0_MSC1_D2_I2S_ADC_LRCK_SLCD_D6_PB13,/TXD0
65,GMAC_TXD1_MSC1_D3_I2S_DAC_MCLK_SLCD_D7_PB14,/TXD1
66,GMAC_TXEN_MSC1_CLK_I2S_ADC_MCLK_SLCD_D2_PB08,/TXEN
67,BOOT_SEL0_PC00,Net-(IC1-BOOT_SEL0_PC00)
68,UART0_RTS_I2S_DAC_BCLK_SLCD_DC_PB21,/UART0_RTS
69,UART0_CTS_I2S_ADC_BCLK_SLCD_CS_PB20,/UART0_CTS
70,UART0_TXD_TDO_SLCD_RDY_PB22,/UART0_TXD
71,UART0_RXD_TDI_PB19,/UART0_RXD
72,VDD_4,+0V8
73,UART1_RXD_TMS_PB24,/UART_RX
74,UART1_TXD_TCK_PB23,/UART_TX
75,DDRVDD,+1V8
76,VDDMEM,+1V8
77,VREF,Net-(IC1-VREF)
78,DDRPLL_VCCD,+0V8
79,DDRPLL_VCCA,+1V8
80,GPIO_PB31,/PB31
81,SSI1_CE0_DMIC_DAT1_PB30,/PB30
82,SSI1_CLK_DMIC_DAT0_PB29,/PB29
83,VDD_5,+0V8
84,VDDIO1_2,+3V3
85,PWM3_SSI1_DR_DMIC_CLK_PB28,/PB28
86,PWM2_SSI1_DT_DRV_VBUS_PB27,/PB27
87,SMB1_SCK_SSI1_CLK_PB26,/PB26
88,SMB1_SDA_SSI1_CE0_PB25,/PB25
89,EP,GND
