pin,functions,gpio,io_char,power_domain,group
1,SSI_SLV_DR|I2S_SDTI|PWM3,PC18,Hi-Z-rst,VDDIO2,uart_ssi0
2,UART0_CTS|I2S_DAC_MCLK,PC11,Hi-Z-rst,VDDIO2,uart_ssi0
3,SSI_SLV_CLK|I2S_DAC_BCLK|PWM0|EXCLK_OUT,PC15,Hi-Z-rst,VDDIO2,uart_ssi0
4,SSI_SLV_CE0|I2S_DAC_LRCK|PWM1|RTC32K,PC16,Hi-Z-rst,VDDIO2,uart_ssi0
5,SSI_SLV_DT|I2S_SDTO|PWM2,PC17,Hi-Z-rst,VDDIO2,uart_ssi0
6,MSC1_D1|SSI0_DR,PC05,Hi-Z-rst,VDDIO2,uart_ssi0
7,MSC1_D0|SSI0_DT,PC04,Hi-Z-rst,VDDIO2,uart_ssi0
8,VDD,,,,power_core
9,VDDIO2,,,,power_io
10,MSC1_CMD|SSI0_CE0,PC03,Hi-Z-rst,VDDIO2,uart_ssi0
11,MSC1_CLK|SSI0_CLK,PC02,Hi-Z-rst,VDDIO2,uart_ssi0
12,MSC1_D3|SSI0_CE1,PC07,Hi-Z-rst,VDDIO2,uart_ssi0
13,MSC1_D2|SSI0_GPC,PC06,Hi-Z-rst,VDDIO2,uart_ssi0
14,VDD,,,,power_core
15,EXCLK_XIN,,2~30MHz osc,VDDIO18,osc
16,EXCLK_XOUT,,osc on/off,VDDIO18,osc
17,VDDIO18,,,,power_io
18,GPIO_PA18,PA18,Hi-Z-rst,VDDIO18,cis_ctl
19,MCLK,PA15,Hi-Z-rst,VDDIO18,cis_ctl
20,SMB0_SDA,PA12,Hi-Z-rst,VDDIO18,cis_ctl
21,SMB0_SCK,PA13,Hi-Z-rst,VDDIO18,cis_ctl
22,CSI_VCCA18,,,,mipi
23,CSI_DATAP0,,,CSI_VCCA18,mipi
24,CSI_DATAN0,,,CSI_VCCA18,mipi
25,CSI_CLKP,,,CSI_VCCA18,mipi
26,CSI_CLKN,,,CSI_VCCA18,mipi
27,CSI_DATAP1,,,CSI_VCCA18,mipi
28,CSI_DATAN1,,,CSI_VCCA18,mipi
29,MICPL,,,CODEC_USB_AVDD,audio
30,MICNL,,,CODEC_USB_AVDD,audio
31,CODEC_USB_AVDD,,,,audio
32,VDD,,,,power_core
33,VCM,,,CODEC_USB_AVDD,audio
34,HPOUTL,,,CODEC_USB_AVDD,audio
