Ref,Val,Package,PosX,PosY,Rot,Side
"C47","100nF","C_0402_1005Metric",214.000000,-98.000000,180.000000,bottom
"C48","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",180.000000,-98.000000,180.000000,bottom
"C49","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",184.000000,-101.000000,180.000000,bottom
"C50","100nF","C_0402_1005Metric",188.000000,-101.000000,180.000000,bottom
"C51","22pF","C_0402_1005Metric",192.000000,-98.000000,180.000000,bottom
"C52","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",196.000000,-98.000000,180.000000,bottom
"C53","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",200.000000,-101.000000,180.000000,bottom
"C54","100nF","C_0402_1005Metric",204.000000,-101.000000,180.000000,bottom
"C55","22pF","C_0402_1005Metric",208.000000,-98.000000,180.000000,bottom
"J13","SFW15R-2STE1LF","SFW15R2STE1LF",167.540000,-70.240000,90.000000,bottom
"L1","2.2uH","L_1210_3225Metric",188.000000,-98.000000,180.000000,bottom
"L2","2.2uH","L_1210_3225Metric",204.000000,-98.000000,180.000000,bottom
"LOGO2","OSHW OUTLINE","oshw",190.839556,-92.461077,180.000000,bottom
"LOGO3","Teacup Logo","TClogo-med",230.500808,-83.794348,180.000000,bottom
"R26","240R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",210.000000,-101.000000,180.000000,bottom
"R27","240R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",214.000000,-101.000000,180.000000,bottom
"R28","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",210.000000,-98.000000,180.000000,bottom
"R29","100k","R_0402_1005Metric",180.000000,-101.000000,180.000000,bottom
"R30","300k","R_0402_1005Metric",176.000000,-101.000000,180.000000,bottom
"R31","150k","R_0402_1005Metric",196.000000,-101.000000,180.000000,bottom
"R32","120k","R_0402_1005Metric",192.000000,-101.000000,180.000000,bottom
"U6","SY8089A1AAC","SOT-23-5",184.000000,-98.000000,180.000000,bottom
"U7","SY8089A1AAC","SOT-23-5",200.000000,-98.000000,180.000000,bottom
"C1","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",218.800000,-66.600000,0.000000,top
"C2","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",218.600000,-64.800000,0.000000,top
"C3","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",218.600000,-63.000000,0.000000,top
"C4","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",214.800000,-66.600000,180.000000,top
"C5","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",215.000000,-64.800000,180.000000,top
"C6","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",215.000000,-63.000000,180.000000,top
"C7","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",229.200000,-66.600000,0.000000,top
"C8","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",228.937500,-64.800000,0.000000,top
"C9","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",228.900000,-63.000000,0.000000,top
"C10","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",225.200000,-66.600000,180.000000,top
"C11","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",225.400000,-64.800000,180.000000,top
"C12","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",225.400000,-63.000000,180.000000,top
"C13","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",235.400000,-66.600000,0.000000,top
"C14","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",235.600000,-64.800000,0.000000,top
"C15","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",235.600000,-63.000000,0.000000,top
"C16","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",239.400000,-66.600000,180.000000,top
"C17","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",239.200000,-64.800000,180.000000,top
"C18","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",239.200000,-63.000000,180.000000,top
